season,team_code,team_name,team_link,team_img
2004,ZAL,Zalgiris,https://www.euroleague.net/competition/teams/showteam?clubcode=ZAL&seasoncode=E2004,https://www.euroleague.net/rs/a35b39s6ef7fo9pa/5fae8dff-b186-4e7f-a158-c16e8e479736/a77/filename/5fa.png
2005,AEK,AEK Athens,https://www.euroleague.net/competition/teams/showteam?clubcode=AEK&seasoncode=E2005,https://www.euroleague.net/rs/66nqu3xd77u8dv6q/5fae8dff-b186-4e7f-a158-c16e8e479736/dd4/filename/5fa.png
2005,MIL,AJ Milano,https://www.euroleague.net/competition/teams/showteam?clubcode=MIL&seasoncode=E2005,https://www.euroleague.net/rs/a35a8ng9dir9gnbb/5fae8dff-b186-4e7f-a158-c16e8e479736/287/filename/5fa.png
2005,TRE,Benetton Basket,https://www.euroleague.net/competition/teams/showteam?clubcode=TRE&seasoncode=E2005,https://www.euroleague.net/rs/7041/5fae8dff-b186-4e7f-a158-c16e8e479736/2fb/filename/5fa.jpg
2005,CIB,Cibona VIP,https://www.euroleague.net/competition/teams/showteam?clubcode=CIB&seasoncode=E2005,https://www.euroleague.net/rs/14543/5fae8dff-b186-4e7f-a158-c16e8e479736/528/filename/5fa.png
2005,FOR,Climamio Bologna,https://www.euroleague.net/competition/teams/showteam?clubcode=FOR&seasoncode=E2005,https://www.euroleague.net/rs/14470/5fae8dff-b186-4e7f-a158-c16e8e479736/433/filename/5fa.png
2005,CSK,CSKA Moscow,https://www.euroleague.net/competition/teams/showteam?clubcode=CSK&seasoncode=E2005,https://www.euroleague.net/rs/a359ywvf43as6tee/5fae8dff-b186-4e7f-a158-c16e8e479736/777/filename/5fa.png
2005,IST,Efes Pilsen,https://www.euroleague.net/competition/teams/showteam?clubcode=IST&seasoncode=E2005,https://www.euroleague.net/rs/a35a6anofpgn5wca/5fae8dff-b186-4e7f-a158-c16e8e479736/7d6/filename/5fa.png
2005,BAM,GHP Bamberg,https://www.euroleague.net/competition/teams/showteam?clubcode=BAM&seasoncode=E2005,https://www.euroleague.net/rs/73kxg36ysqxnp7o5/5fae8dff-b186-4e7f-a158-c16e8e479736/88f/filename/5fa.jpg
2005,LIE,Lietuvos Rytas,https://www.euroleague.net/competition/teams/showteam?clubcode=LIE&seasoncode=E2005,https://www.euroleague.net/rs/a35cgyhq39vdju75/5fae8dff-b186-4e7f-a158-c16e8e479736/d8c/filename/5fa.png
2005,TEL,Maccabi Elite,https://www.euroleague.net/competition/teams/showteam?clubcode=TEL&seasoncode=E2005,https://www.euroleague.net/rs/a35apnp9acakcpfc/5fae8dff-b186-4e7f-a158-c16e8e479736/658/filename/5fa.png
2005,SIE,Montepaschi Siena,https://www.euroleague.net/competition/teams/showteam?clubcode=SIE&seasoncode=E2005,https://www.euroleague.net/rs/14529/5fae8dff-b186-4e7f-a158-c16e8e479736/60d/filename/5fa.png
2005,OLY,Olympiacos,https://www.euroleague.net/competition/teams/showteam?clubcode=OLY&seasoncode=E2005,https://www.euroleague.net/rs/a35arljanoudh995/5fae8dff-b186-4e7f-a158-c16e8e479736/c8c/filename/5fa.png
2005,PAN,Panathinaikos,https://www.euroleague.net/competition/teams/showteam?clubcode=PAN&seasoncode=E2005,https://www.euroleague.net/rs/a35atgy4e3u3txqh/5fae8dff-b186-4e7f-a158-c16e8e479736/c20/filename/5fa.png
2005,PAR,Partizan,https://www.euroleague.net/competition/teams/showteam?clubcode=PAR&seasoncode=E2005,https://www.euroleague.net/rs/a35cbqti3cm45opg/5fae8dff-b186-4e7f-a158-c16e8e479736/a2c/filename/5fa.png
